game_id,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
72633,perfect,718,718,,,,,
72861,perfect,905,905,,,,,
72863,perfect,803,803,,,,,
72864,perfect,702,702,,,,,
72865,perfect,800,800,,,,,
72872,perfect,841,841,,,,,
72877,perfect,961,961,,,,,
72886,dropped,0,0,,,,illegal_share_buy,
72888,perfect,761,761,,,,,
72949,perfect,377,377,,,,,
72950,perfect,988,988,,,,,
73014,perfect,805,805,,,,,
73020,dropped,0,0,,,,cross_player_buy_company,
73021,perfect,769,769,,,,,
73023,dropped,0,0,,,,illegal_share_buy,
73299,perfect,416,416,,,,,
73515,perfect,745,745,,,,,
73594,perfect,689,689,,,,,
73610,perfect,906,906,,,,,
73767,perfect,776,776,,,,,
73854,perfect,427,427,,,,,
73996,perfect,358,358,,,,,
74019,perfect,448,448,,,,,
74198,perfect,740,740,,,,,
74334,dropped,0,0,,,,illegal_share_buy,
74382,perfect,573,573,,,,,
74461,perfect,714,714,,,,,
74647,dropped,0,0,,,,illegal_share_buy,
74705,perfect,346,346,,,,,
74730,dropped,0,0,,,,illegal_share_buy,
74792,perfect,544,544,,,,,
74978,perfect,930,930,,,,,
74984,perfect,455,455,,,,,
74998,dropped,0,0,,,,mh_out_of_turn,
75005,dropped,0,0,,,,illegal_share_buy,
75032,perfect,753,753,,,,,
75055,perfect,904,904,,,,,
75107,perfect,810,810,,,,,
75128,perfect,537,537,,,,,
75211,perfect,807,807,,,,,
75240,perfect,890,890,,,,,
75254,perfect,733,733,,,,,
75340,perfect,769,769,,,,,
75727,dropped,0,0,,,,illegal_share_buy,
75812,perfect,418,418,,,,,
75976,dropped,0,0,,,,mh_out_of_turn,
76000,perfect,882,882,,,,,
76105,perfect,537,537,,,,,
76125,perfect,850,850,,,,,
76140,perfect,536,536,,,,,
76264,perfect,592,592,,,,,
76322,perfect,476,476,,,,,
76333,perfect,730,730,,,,,
76384,perfect,817,817,,,,,
76388,perfect,953,953,,,,,
76391,perfect,743,743,,,,,
76450,perfect,791,791,,,,,
76457,perfect,380,380,,,,,
76612,perfect,848,848,,,,,
76632,perfect,510,510,,,,,
76640,dropped,0,0,,,,illegal_share_buy,
76763,perfect,780,780,,,,,
76770,perfect,294,294,,,,,
76838,perfect,847,847,,,,,
76855,perfect,769,769,,,,,
76931,perfect,509,509,,,,,
76998,perfect,1007,1007,,,,,
77102,dropped,0,0,,,,illegal_share_buy,
77181,perfect,497,497,,,,,
77231,perfect,521,521,,,,,
77252,perfect,860,860,,,,,
77265,dropped,0,0,,,,illegal_share_buy,
77392,perfect,840,840,,,,,
77789,perfect,733,733,,,,,
77794,perfect,489,489,,,,,
77832,dropped,0,0,,,,illegal_share_buy,
77992,perfect,409,409,,,,,
78101,dropped,0,0,,,,illegal_share_buy,
78106,perfect,922,922,,,,,
78127,perfect,822,822,,,,,
78146,perfect,872,872,,,,,
78347,perfect,803,803,,,,,
78604,perfect,775,775,,,,,
