game_id,num_players,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
27645,6,perfect,404,404,,,,,
42643,4,perfect,467,467,,,,,
67883,3,dropped,0,0,,,,cross_player_buy_company,
66504,4,perfect,390,390,,,,,
59566,5,perfect,847,847,,,,,
70631,4,perfect,747,747,,,,,
70703,4,perfect,924,924,,,,,
65553,4,perfect,800,800,,,,,
80431,4,perfect,775,775,,,,,
52811,2,perfect,879,879,,,,,
29967,3,perfect,461,461,,,,,
70666,4,perfect,818,818,,,,,
42615,4,perfect,857,857,,,,,
28073,6,perfect,776,776,,,,,
36502,4,dropped,0,0,,,,illegal_share_buy,
61397,4,perfect,478,478,,,,,
70735,4,perfect,519,519,,,,,
70642,4,perfect,424,424,,,,,
82669,4,perfect,362,362,,,,,
55113,3,perfect,907,907,,,,,
27030,3,perfect,790,790,,,,,
70729,4,perfect,864,864,,,,,
73316,5,dropped,0,0,,,,illegal_share_buy,
62470,6,perfect,535,535,,,,,
76457,4,perfect,380,380,,,,,
33526,4,dropped,0,0,,,,illegal_share_buy,
60786,4,dropped,0,0,,,,illegal_share_buy,
82583,4,perfect,415,415,,,,,
81717,4,perfect,769,769,,,,,
30633,4,perfect,350,350,,,,,
42569,4,perfect,859,859,,,,,
44607,4,perfect,903,903,,,,,
82553,4,perfect,831,831,,,,,
62686,4,perfect,420,420,,,,,
85886,4,dropped,0,0,,,,illegal_share_buy,
44896,4,perfect,410,410,,,,,
82019,5,perfect,456,456,,,,,
27702,6,dropped,0,0,,,,illegal_share_buy,
51483,5,perfect,987,987,,,,,
38532,5,perfect,795,795,,,,,
70615,4,perfect,883,883,,,,,
26873,4,perfect,448,448,,,,,
44974,5,perfect,904,904,,,,,
55294,4,perfect,854,854,,,,,
44815,5,dropped,0,0,,,,illegal_share_buy,
42604,4,perfect,496,496,,,,,
81526,4,perfect,334,334,,,,,
65301,4,perfect,464,464,,,,,
44546,5,dropped,0,0,,,,illegal_share_buy,
67906,3,perfect,808,808,,,,,
35589,4,perfect,493,493,,,,,
58367,4,perfect,703,703,,,,,
55329,3,perfect,402,402,,,,,
27869,4,perfect,809,809,,,,,
70665,4,perfect,898,898,,,,,
82612,4,perfect,872,872,,,,,
85700,5,perfect,408,408,,,,,
49249,4,perfect,844,844,,,,,
41830,6,perfect,527,527,,,,,
52861,4,perfect,897,897,,,,,
37413,6,dropped,0,0,,,,illegal_share_buy,
47140,5,perfect,485,485,,,,,
49526,4,dropped,0,0,,,,illegal_share_buy,
30330,5,perfect,426,426,,,,,
55891,4,perfect,756,756,,,,,
54630,4,perfect,838,838,,,,,
56082,4,dropped,0,0,,,,illegal_share_buy,
60443,4,perfect,716,716,,,,,
65044,3,perfect,368,368,,,,,
84955,4,perfect,853,853,,,,,
75005,4,dropped,0,0,,,,illegal_share_buy,
68984,5,perfect,986,986,,,,,
61540,4,perfect,453,453,,,,,
53413,3,dropped,0,0,,,,cross_player_buy_company,
70639,4,perfect,823,823,,,,,
44571,3,perfect,904,904,,,,,
73382,5,dropped,0,0,,,,cross_president_buy_train,
26837,4,perfect,880,880,,,,,
47432,4,perfect,1019,1019,,,,,
28038,4,perfect,418,418,,,,,
70640,4,perfect,443,443,,,,,
76450,4,perfect,791,791,,,,,
81625,4,perfect,479,479,,,,,
65308,4,perfect,746,746,,,,,
85778,5,perfect,533,533,,,,,
27151,4,perfect,797,797,,,,,
87764,3,dropped,0,0,,,,illegal_share_buy,
76000,4,perfect,882,882,,,,,
68541,4,perfect,725,725,,,,,
52572,3,perfect,467,467,,,,,
61913,4,perfect,390,390,,,,,
45387,4,perfect,387,387,,,,,
56996,5,dropped,0,0,,,,illegal_share_buy,
74268,3,perfect,688,688,,,,,
42655,4,perfect,472,472,,,,,
40851,5,perfect,802,802,,,,,
41775,5,perfect,384,384,,,,,
86032,4,perfect,578,578,,,,,
63926,4,perfect,704,704,,,,,
77252,4,perfect,860,860,,,,,
85290,5,perfect,990,990,,,,,
75812,4,perfect,418,418,,,,,
44076,4,perfect,822,822,,,,,
51510,3,perfect,721,721,,,,,
31342,4,perfect,531,531,,,,,
70653,4,perfect,826,826,,,,,
42712,4,perfect,863,863,,,,,
55853,4,perfect,682,682,,,,,
80592,4,perfect,814,814,,,,,
75340,4,perfect,769,769,,,,,
42997,4,perfect,1056,1056,,,,,
27182,4,perfect,390,390,,,,,
26905,5,perfect,460,460,,,,,
38084,4,perfect,676,676,,,,,
40255,5,perfect,421,421,,,,,
62488,6,dropped,0,0,,,,illegal_share_buy,
64392,4,perfect,844,844,,,,,
48596,3,perfect,873,873,,,,,
55099,4,perfect,471,471,,,,,
